,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3722,2015,SOTCB,Solar energy total consumption,OH,Ohio,1677,Billion Btu
3723,2015,SOTCB,Solar energy total consumption,CO,Colorado,6267,Billion Btu
3724,2015,HYTCP,Hydroelectricity total net generation,IL,Illinois,124,Million kilowatthours
3725,2015,SOTCB,Solar energy total consumption,RI,Rhode Island,297,Billion Btu
3726,2015,HYTCB,Hydropower total consumption,MD,Maryland,15118,Billion Btu
3727,2015,WYTCP,Wind electricity total net generation,SD,South Dakota,2498,Million kilowatthours
3728,2015,SOTCB,Solar energy total consumption,US,United States,426543,Billion Btu
3729,2015,GETCB,Geothermal energy total consumption,PA,Pennsylvania,2162,Billion Btu
3730,2015,GETCB,Geothermal energy total consumption,HI,Hawaii,2153,Billion Btu
3731,2015,SOTCB,Solar energy total consumption,MA,Massachusetts,12529,Billion Btu
3732,2015,WYTCB,Wind energy total consumption,MD,Maryland,4048,Billion Btu
3733,2015,HYTCB,Hydropower total consumption,US,United States,2319932,Billion Btu
3734,2015,WYTCB,Wind energy total consumption,ND,North Dakota,60594,Billion Btu
3735,2015,HYTCB,Hydropower total consumption,AR,Arkansas,33243,Billion Btu
3736,2015,WYTCP,Wind electricity total net generation,DE,Delaware,5,Million kilowatthours
3737,2015,HYTCB,Hydropower total consumption,ME,Maine,31300,Billion Btu
3738,2015,SOTCB,Solar energy total consumption,NJ,New Jersey,20956,Billion Btu
3739,2015,WYTCB,Wind energy total consumption,RI,Rhode Island,94,Billion Btu
3740,2015,SOTCB,Solar energy total consumption,AK,Alaska,3,Billion Btu
3741,2015,WYTCP,Wind electricity total net generation,ME,Maine,1296,Million kilowatthours
3742,2015,HYTCB,Hydropower total consumption,KS,Kansas,177,Billion Btu
3743,2015,SOTCB,Solar energy total consumption,MT,Montana,85,Billion Btu
3744,2015,WYTCP,Wind electricity total net generation,UT,Utah,626,Million kilowatthours
3745,2015,GEEGP,Geothermal electricity net generation in the electric power sector,IA,Iowa,0,Million kilowatthours
3746,2015,SOTCB,Solar energy total consumption,KY,Kentucky,198,Billion Btu
3747,2015,HYTCP,Hydroelectricity total net generation,NH,New Hampshire,1270,Million kilowatthours
3748,2015,SOTCB,Solar energy total consumption,IN,Indiana,1713,Billion Btu
3749,2015,HYTCP,Hydroelectricity total net generation,KS,Kansas,19,Million kilowatthours
3750,2015,SOTCB,Solar energy total consumption,LA,Louisiana,1520,Billion Btu
3751,2015,SOTCB,Solar energy total consumption,SD,South Dakota,10,Billion Btu
3752,2015,GEEGP,Geothermal electricity net generation in the electric power sector,IL,Illinois,0,Million kilowatthours
3753,2015,WYTCP,Wind electricity total net generation,NY,New York,3977,Million kilowatthours
3754,2015,WYTCB,Wind energy total consumption,WI,Wisconsin,14803,Billion Btu
