,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
3480,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,OH,Ohio,151,Million kilowatthours
3481,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,DE,Delaware,128,Million kilowatthours
3482,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,VA,Virginia,30,Million kilowatthours
3483,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,OR,Oregon,116,Million kilowatthours
3484,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,WY,Wyoming,3,Million kilowatthours
3485,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,NV,Nevada,1844,Million kilowatthours
3486,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MS,Mississippi,2,Million kilowatthours
3487,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,ME,Maine,19,Million kilowatthours
3488,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,US,United States,39032,Million kilowatthours
3489,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,NH,New Hampshire,24,Million kilowatthours
3490,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,NM,New Mexico,757,Million kilowatthours
3491,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MD,Maryland,457,Million kilowatthours
3492,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,OK,Oklahoma,5,Million kilowatthours
3493,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MO,Missouri,162,Million kilowatthours
3494,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,UT,Utah,99,Million kilowatthours
3495,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,WV,West Virginia,4,Million kilowatthours
3496,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,DC,District of Columbia,32,Million kilowatthours
3497,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,RI,Rhode Island,28,Million kilowatthours
3498,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,LA,Louisiana,153,Million kilowatthours
3499,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,PA,Pennsylvania,325,Million kilowatthours
3500,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,SD,South Dakota,1,Million kilowatthours
3501,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MA,Massachusetts,1314,Million kilowatthours
3502,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MN,Minnesota,28,Million kilowatthours
3503,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,AZ,Arizona,4827,Million kilowatthours
3504,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,KY,Kentucky,14,Million kilowatthours
3505,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,CT,Connecticut,216,Million kilowatthours
3506,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,IL,Illinois,76,Million kilowatthours
3507,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MI,Michigan,39,Million kilowatthours
3508,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,HI,Hawaii,687,Million kilowatthours
3509,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,MT,Montana,8,Million kilowatthours
3510,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,WI,Wisconsin,29,Million kilowatthours
3511,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,AL,Alabama,3,Million kilowatthours
3512,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,AR,Arkansas,6,Million kilowatthours
3513,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,NE,Nebraska,1,Million kilowatthours
3514,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,IN,Indiana,168,Million kilowatthours
3515,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,SC,South Carolina,11,Million kilowatthours
3516,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,IA,Iowa,41,Million kilowatthours
3517,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,TN,Tennessee,136,Million kilowatthours
3518,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,WA,Washington,56,Million kilowatthours
3519,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,VT,Vermont,102,Million kilowatthours
3520,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,AK,Alaska,0,Million kilowatthours
3521,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,TX,Texas,624,Million kilowatthours
3522,2015,SOTGP,Solar thermal and photovoltaic electricity total net generation,NJ,New Jersey,2062,Million kilowatthours
3523,2015,WWPRB,Wood and waste energy production,AL,Alabama,164877,Billion Btu
3524,2015,WWPRB,Wood and waste energy production,ND,North Dakota,2835,Billion Btu
3525,2015,WWPRB,Wood and waste energy production,US,United States,2830140,Billion Btu
3526,2015,WWPRB,Wood and waste energy production,NM,New Mexico,10692,Billion Btu
3527,2015,WWPRB,Wood and waste energy production,TN,Tennessee,66953,Billion Btu
3528,2015,WWPRB,Wood and waste energy production,NV,Nevada,2632,Billion Btu
3529,2015,WWPRB,Wood and waste energy production,NJ,New Jersey,22292,Billion Btu
3530,2015,WWPRB,Wood and waste energy production,RI,Rhode Island,4315,Billion Btu
3531,2015,WWPRB,Wood and waste energy production,MS,Mississippi,53521,Billion Btu
3532,2015,WWPRB,Wood and waste energy production,OR,Oregon,73972,Billion Btu
3533,2015,WWPRB,Wood and waste energy production,WY,Wyoming,4905,Billion Btu
3534,2015,WWPRB,Wood and waste energy production,MT,Montana,14143,Billion Btu
3535,2015,WWPRB,Wood and waste energy production,CA,California,139561,Billion Btu
3536,2015,WWPRB,Wood and waste energy production,IA,Iowa,21425,Billion Btu
