,Year,State,BiofuelsProduction,BiomassConsumption,GeothermalProduction,GeothermalConsumption,HydropowerConsumption,HydropowerProduction,SolarConsumption,SolarProduction,WoodWasteProduction,WindConsumption,WindProduction,Unit
41,1991,SD,1111.0,3942.0,0.0,175.0,13062.0,13061.679575999999,0.0,0.0,2324.0,0.0,0.0,Billion Btu
42,1991,TN,5869.0,64996.0,0.0,29.0,37098.0,37100.219966,60.0,0.0,60931.0,0.0,0.0,Billion Btu
43,1991,TX,63.0,98409.0,0.0,272.0,7590.0,7592.01595,414.0,3.412142,96362.0,0.0,0.0,Billion Btu
44,1991,US,128001.0,2781799.0,54478.259172,65478.0,986048.0,986088.5651479999,58040.0,1729.955994,2653799.0,10069.0,10069.231042,Billion Btu
45,1991,UT,0.0,3608.0,634.658412,1057.0,2139.0,2139.4130339999997,40.0,0.0,3605.0,0.0,0.0,Billion Btu
46,1991,VA,631.0,96061.0,0.0,152.0,3685.0,3685.11336,127.0,0.0,94517.0,0.0,0.0,Billion Btu
47,1991,VT,0.0,6317.0,0.0,0.0,3592.0,3592.985526,6.0,0.0,6317.0,0.0,0.0,Billion Btu
48,1991,WA,755.0,75058.0,0.0,96.0,304836.0,304847.59056399995,362.0,0.0,73889.0,0.0,0.0,Billion Btu
49,1991,WI,0.0,83398.0,0.0,86.0,8587.0,8588.361413999999,208.0,0.0,81702.0,0.0,0.0,Billion Btu
50,1991,WV,0.0,5250.0,0.0,0.0,3635.0,3633.9312299999997,32.0,0.0,5250.0,0.0,0.0,Billion Btu
51,1991,WY,0.0,2448.0,0.0,649.0,2511.0,2511.336512,2.0,0.0,2163.0,0.0,0.0,Billion Btu
52,1992,AK,0.0,8753.0,0.0,51.0,3133.0,3132.346356,1.0,0.0,8753.0,0.0,0.0,Billion Btu
53,1992,AL,0.0,151327.0,0.0,15.0,35007.0,35008.57692,148.0,0.0,148742.0,0.0,0.0,Billion Btu
